"STATION","NAME","DATE","DLY-CLDD-BASE45","DLY-CLDD-BASE50","DLY-CLDD-BASE55","DLY-CLDD-BASE57","DLY-CLDD-BASE60","DLY-CLDD-BASE70","DLY-CLDD-BASE72","DLY-CLDD-NORMAL","DLY-DUTR-NORMAL","DLY-DUTR-STDDEV","DLY-GRDD-BASE40","DLY-GRDD-BASE45","DLY-GRDD-BASE50","DLY-GRDD-BASE55","DLY-GRDD-BASE57","DLY-GRDD-BASE60","DLY-GRDD-BASE65","DLY-GRDD-BASE70","DLY-GRDD-BASE72","DLY-GRDD-TB4886","DLY-GRDD-TB5086","DLY-HTDD-BASE40","DLY-HTDD-BASE45","DLY-HTDD-BASE50","DLY-HTDD-BASE55","DLY-HTDD-BASE57","DLY-HTDD-BASE60","DLY-HTDD-NORMAL","DLY-PRCP-25PCTL","DLY-PRCP-50PCTL","DLY-PRCP-75PCTL","DLY-PRCP-PCTALL-GE001HI","DLY-PRCP-PCTALL-GE010HI","DLY-PRCP-PCTALL-GE050HI","DLY-PRCP-PCTALL-GE100HI","DLY-SNOW-25PCTL","DLY-SNOW-50PCTL","DLY-SNOW-75PCTL","DLY-SNOW-PCTALL-GE001TI","DLY-SNOW-PCTALL-GE010TI","DLY-SNOW-PCTALL-GE030TI","DLY-SNOW-PCTALL-GE050TI","DLY-SNOW-PCTALL-GE100TI","DLY-SNWD-25PCTL","DLY-SNWD-50PCTL","DLY-SNWD-75PCTL","DLY-SNWD-PCTALL-GE001WI","DLY-SNWD-PCTALL-GE003WI","DLY-SNWD-PCTALL-GE005WI","DLY-SNWD-PCTALL-GE010WI","DLY-TAVG-NORMAL","DLY-TAVG-STDDEV","DLY-TMAX-NORMAL","DLY-TMAX-STDDEV","DLY-TMIN-NORMAL","DLY-TMIN-STDDEV","MTD-PRCP-NORMAL","MTD-SNOW-NORMAL","YTD-PRCP-NORMAL","YTD-SNOW-NORMAL"
"USW00014735","ALBANY INTERNATIONAL AIRPORT, NY US","01-01","-7777","-7777","-7777","0","0","0","0","0","15.3","6.5","-7777","-7777","-7777","-7777","0","0","0","0","0","-7777","-7777","17","21","26","31","33","36","41","0.03","0.10","0.27","40.6","199","55","9","0.3","0.8","2.1","288","129","54","29","8","2","3","7","517","319","191","72","23.6","10.7","31.3","10.6","16.0","11.8","0.08","0.6","0.08","0.6"
"USW00014735","ALBANY INTERNATIONAL AIRPORT, NY US","01-02","-7777","-7777","-7777","0","0","0","0","0","15.4","6.5","-7777","-7777","-7777","-7777","0","0","0","0","0","-7777","-7777","17","22","27","32","34","37","42","0.03","0.10","0.27","40.7","198","55","9","0.3","0.8","2.1","291","130","55","30","8","2","3","7","525","326","197","74","23.4","10.8","31.1","10.7","15.7","11.9","0.16","1.1","0.16","1.1"
"USW00014735","ALBANY INTERNATIONAL AIRPORT, NY US","01-03","-7777","-7777","-7777","0","0","0","0","0","15.5","6.5","-7777","-7777","-7777","-7777","0","0","0","0","0","-7777","-7777","17","22","27","32","34","37","42","0.02","0.09","0.27","40.8","197","56","9","0.3","0.7","2.1","294","130","55","30","9","2","3","7","533","334","203","77","23.3","10.9","31.0","10.8","15.5","12.0","0.25","1.7","0.25","1.7"
"USW00014735","ALBANY INTERNATIONAL AIRPORT, NY US","01-04","-7777","-7777","-7777","0","0","0","0","0","15.5","6.6","-7777","-7777","-7777","-7777","0","0","0","0","0","-7777","-7777","17","22","27","32","34","37","42","0.02","0.09","0.27","40.8","196","56","9","0.3","0.7","2.1","297","130","56","30","9","2","4","7","540","341","208","79","23.1","11.0","30.8","10.9","15.3","12.1","0.33","2.2","0.33","2.2"
"USW00014735","ALBANY INTERNATIONAL AIRPORT, NY US","01-05","-7777","-7777","-7777","0","0","0","0","0","15.6","6.6","-7777","-7777","-7777","-7777","0","0","0","0","0","-7777","-7777","17","22","27","32","34","37","42","0.02","0.09","0.27","40.9","195","56","9","0.3","0.7","2.0","300","131","56","30","9","2","4","7","548","348","214","82","22.9","11.1","30.7","11.0","15.1","12.2","0.41","2.8","0.41","2.8"
"USW00014735","ALBANY INTERNATIONAL AIRPORT, NY US","01-06","-7777","-7777","-7777","-7777","0","0","0","0","15.6","6.7","-7777","-7777","-7777","-7777","-7777","0","0","0","0","-7777","-7777","17","22","27","32","34","37","42","0.02","0.09","0.27","41.0","194","56","9","0.3","0.7","2.0","303","131","56","31","9","2","4","7","556","356","220","84","22.8","11.2","30.6","11.1","15.0","12.3","0.50","3.4","0.50","3.4"
"USW00014735","ALBANY INTERNATIONAL AIRPORT, NY US","01-07","-7777","-7777","-7777","-7777","-7777","0","0","0","15.7","6.7","-7777","-7777","-7777","-7777","-7777","-7777","0","0","0","-7777","-7777","18","22","27","32","34","37","42","0.02","0.09","0.27","41.0","193","57","9","0.3","0.7","2.0","306","132","57","31","9","2","4","7","563","363","225","87","22.7","11.3","30.5","11.2","14.8","12.4","0.58","3.9","0.58","3.9"
"USW00014735","ALBANY INTERNATIONAL AIRPORT, NY US","01-08","-7777","-7777","-7777","-7777","-7777","0","0","0","15.8","6.7","-7777","-7777","-7777","-7777","-7777","-7777","0","0","0","-7777","-7777","18","23","27","32","34","37","42","0.02","0.09","0.27","41.0","192","57","9","0.3","0.7","2.0","308","132","57","31","9","2","4","7","570","369","231","89","22.5","11.4","30.4","11.2","14.7","12.4","0.66","4.5","0.66","4.5"
"USW00014735","ALBANY INTERNATIONAL AIRPORT, NY US","01-09","-7777","-7777","-7777","-7777","-7777","0","0","0","15.8","6.8","-7777","-7777","-7777","-7777","-7777","-7777","0","0","0","-7777","-7777","18","23","28","33","35","38","43","0.02","0.09","0.27","41.0","191","57","9","0.3","0.7","2.0","310","132","57","31","10","2","4","7","577","376","237","92","22.4","11.4","30.4","11.3","14.5","12.5","0.74","5.1","0.74","5.1"
"USW00014735","ALBANY INTERNATIONAL AIRPORT, NY US","01-10","-7777","-7777","-7777","-7777","-7777","0","0","0","15.9","6.8","-7777","-7777","-7777","-7777","-7777","-7777","0","0","0","-7777","-7777","18","23","28","33","35","38","43","0.02","0.08","0.27","41.0","189","58","9","0.3","0.7","2.0","312","133","57","31","10","2","4","7","584","383","243","94","22.4","11.5","30.3","11.3","14.4","12.6","0.82","5.7","0.82","5.7"
"USW00014735","ALBANY INTERNATIONAL AIRPORT, NY US","01-11","-7777","-7777","-7777","-7777","-7777","0","0","0","15.9","6.8","-7777","-7777","-7777","-7777","-7777","-7777","0","0","0","-7777","-7777","18","23","28","33","35","38","43","0.02","0.08","0.27","41.0","188","58","9","0.3","0.7","1.9","313","133","58","31","10","2","4","7","590","390","249","96","22.3","11.5","30.2","11.4","14.3","12.7","0.90","6.3","0.90","6.3"
"USW00014735","ALBANY INTERNATIONAL AIRPORT, NY US","01-12","-7777","-7777","-7777","-7777","-7777","0","0","0","16.0","6.9","-7777","-7777","-7777","-7777","-7777","-7777","0","0","0","-7777","-7777","18","23","28","33","35","38","43","0.02","0.08","0.27","40.9","187","59","9","0.3","0.7","1.9","314","132","58","31","10","2","4","7","597","397","255","98","22.2","11.6","30.2","11.4","14.2","12.7","0.99","6.9","0.99","6.9"
"USW00014735","ALBANY INTERNATIONAL AIRPORT, NY US","01-13","-7777","-7777","-7777","-7777","-7777","0","0","0","16.0","6.9","-7777","-7777","-7777","-7777","-7777","-7777","0","0","0","-7777","-7777","18","23","28","33","35","38","43","0.02","0.08","0.27","40.8","185","59","10","0.2","0.6","1.9","316","132","58","31","10","2","4","7","603","403","260","99","22.2","11.6","30.2","11.4","14.2","12.8","1.07","7.5","1.07","7.5"
