CPI for Urban Wage Earners and Clerical Workers (CPI-W),,,,,
Original Data Value,,,,,
,,,,,
Series Id:,CWUR0000SAF1,,,,
Not Seasonally Adjusted,,,,,
Series Title:,"Food in U.S. city average, urban wage earners and clerical workers, not seasonally adjusted",,,,
Area:,U.S. city average,,,,
Item:,Food,,,,
Base Period:,1982-84=100,,,,
Years:,1935 to 2020,,,,
,,,,,
Series ID,Year,Period,Value,,
CWUR0000SAF1,1935,M01,12.2,,
CWUR0000SAF1,1935,M02,12.4,,
CWUR0000SAF1,1935,M03,12.4,,
CWUR0000SAF1,1935,M04,12.6,,
CWUR0000SAF1,1935,M05,12.6,,
CWUR0000SAF1,1935,M06,12.5,,
CWUR0000SAF1,1935,M07,12.3,,
CWUR0000SAF1,1935,M08,12.3,,
CWUR0000SAF1,1935,M09,12.5,,
CWUR0000SAF1,1935,M10,12.4,,
CWUR0000SAF1,1935,M11,12.6,,
CWUR0000SAF1,1935,M12,12.7,,
CWUR0000SAF1,1936,M01,12.6,,
CWUR0000SAF1,1936,M02,12.4,,
CWUR0000SAF1,1936,M03,12.2,,
CWUR0000SAF1,1936,M04,12.2,,
CWUR0000SAF1,1936,M05,12.2,,
CWUR0000SAF1,1936,M06,12.6,,
CWUR0000SAF1,1936,M07,12.7,,
CWUR0000SAF1,1936,M08,12.9,,
CWUR0000SAF1,1936,M09,13.0,,
CWUR0000SAF1,1936,M10,12.8,,
CWUR0000SAF1,1936,M11,12.6,,
CWUR0000SAF1,1936,M12,12.6,,
CWUR0000SAF1,1937,M01,12.8,,
CWUR0000SAF1,1937,M02,12.9,,
CWUR0000SAF1,1937,M03,13.1,,
CWUR0000SAF1,1937,M04,13.1,,
CWUR0000SAF1,1937,M05,13.2,,
CWUR0000SAF1,1937,M06,13.2,,
CWUR0000SAF1,1937,M07,13.2,,
CWUR0000SAF1,1937,M08,13.3,,
CWUR0000SAF1,1937,M09,13.4,,
CWUR0000SAF1,1937,M10,13.2,,
CWUR0000SAF1,1937,M11,12.9,,
CWUR0000SAF1,1937,M12,12.7,,
CWUR0000SAF1,1938,M01,12.4,,
CWUR0000SAF1,1938,M02,12.1,,
CWUR0000SAF1,1938,M03,12.1,,
CWUR0000SAF1,1938,M04,12.2,,
CWUR0000SAF1,1938,M05,12.1,,
CWUR0000SAF1,1938,M06,12.2,,
CWUR0000SAF1,1938,M07,12.2,,
CWUR0000SAF1,1938,M08,12.1,,
CWUR0000SAF1,1938,M09,12.2,,
CWUR0000SAF1,1938,M10,12.1,,
CWUR0000SAF1,1938,M11,11.9,,
CWUR0000SAF1,1938,M12,12.1,,
CWUR0000SAF1,1939,M01,11.9,,
CWUR0000SAF1,1939,M02,11.8,,
CWUR0000SAF1,1939,M03,11.8,,
CWUR0000SAF1,1939,M04,11.7,,
CWUR0000SAF1,1939,M05,11.7,,
CWUR0000SAF1,1939,M06,11.6,,
CWUR0000SAF1,1939,M07,11.7,,
CWUR0000SAF1,1939,M08,11.6,,
CWUR0000SAF1,1939,M09,12.2,,
CWUR0000SAF1,1939,M10,12.1,,
CWUR0000SAF1,1939,M11,12.0,,
CWUR0000SAF1,1939,M12,11.8,,
CWUR0000SAF1,1940,M01,11.8,,
CWUR0000SAF1,1940,M02,12.0,,
CWUR0000SAF1,1940,M03,11.9,,
CWUR0000SAF1,1940,M04,11.9,,
CWUR0000SAF1,1940,M05,12.0,,
CWUR0000SAF1,1940,M06,12.2,,
CWUR0000SAF1,1940,M07,12.1,,
CWUR0000SAF1,1940,M08,11.9,,
CWUR0000SAF1,1940,M09,12.1,,
CWUR0000SAF1,1940,M10,11.9,,
CWUR0000SAF1,1940,M11,11.9,,
CWUR0000SAF1,1940,M12,12.1,,
CWUR0000SAF1,1941,M01,12.1,,
